,primary_keys,property_types,prices,zipcodes,street_names,localities,bedrooms,bathrooms,living_areas (m2),equipped_kitchens,furnisheds,garden_surfaces (m2),surface_plots (m2),building_conditions,energy_classes
210,9983176,villa,450000,7880,Rue de la Crête 15,Flobecq,3,1,215,Installed,No,,1160,Good,E
211,9983566,manor-house,795000,8580,Oudenaardsesteenweg 543,Avelgem,5,4,350,Installed,No,,1996,Just renovated,C
212,9983567,manor-house,795000,8581,Oudenaardsesteenweg 543,Kerkhove,5,4,350,Installed,No,,1996,Just renovated,C
213,9985486,apartment,145000,4500,"Rue des Crepalles 2,23",Huy,1,1,55,Installed,No,,,Good,B
214,9984012,apartment,250000,1070,chaussée de ninove 603,Anderlecht,2,1,100,Hyper equipped,No,,,As new,E
215,9991735,apartment,325000,1050,Chaussée de Vleurgat 266,Ixelles,1,1,61,USA hyper equipped,Yes,,,As new,E
216,9989358,apartment,450000,5000,"avenue de la pairelle 77
    
        Box 24",Namur,3,1,116,Hyper equipped,No,,,As new,B
217,9986019,apartment,849000,1050,Avenue Molière 101,Ixelles,3,3,170,USA hyper equipped,No,50,,Just renovated,E
218,9979952,flat-studio,169000,1000,"NEGENDE LINIELAAN 137
    
        Box  212",Brussels City,,1,34,Installed,Yes,,,Good,E
219,9988993,house,179000,9120,Puchelstraat 8,Beveren,2,1,92,Semi equipped,,135,246,To renovate,D
220,9983194,apartment,195000,1030,Rue Max Roos 48,Schaerbeek,1,1,50,USA installed,,,,Just renovated,E
221,9973014,flat-studio,215000,1140,Avenue des Communautes 4,Evere,,1,43,USA hyper equipped,No,,,As new,A
222,9969488,apartment,245000,1080,Boulevard Louis Mettewie 93,Molenbeek-saint-jean,2,2,120,Installed,No,,,Good,D
223,9988650,apartment-block,6812000,1030,Avenue Eugène Plasky 144,Schaerbeek,28,28,1600,Installed,No,,1012,Just renovated,Not specified
224,9993217,house,299500,4540,Rue du Pont 27,Amay,3,1,140,Semi equipped,No,300,453,As new,F
225,9993694,house,599000,6890,Lesse 166,Libin,6,2,178,Not installed,No,950,1145,To renovate,E
226,9994975,manor-house,1295000,8790,Jan Bouckaertstraat 15,Waregem,5,,600,Semi equipped,No,,2250,To renovate,D
227,9973368,apartment,245000,6790,"Rue de Longwy 143
    
        Box /B12",Aubange,2,1,86,Installed,No,,,Good,B
228,9965004,apartment,279000,8210,"Snellegemsestraat 79
    
        Box  0109",Zedelgem,3,1,117,Installed,No,,,Good,A
