,primary_keys,property_types,prices,zipcodes,street_names,localities,bedrooms,bathrooms,living_areas (m2),equipped_kitchens,furnisheds,garden_surfaces (m2),surface_plots (m2),building_conditions,energy_classes
84,9968924,flat-studio,448000,8300,Zandstraat 4,Knokke-Heist,,1,42,USA hyper equipped,No,,,As new,B
85,9976692,duplex,449900,1020,"Avenue des Pagodes 122
    
        Box 3",Laeken,3,1,160,USA installed,No,,,As new,D
86,9985953,house,99000,4100,Rue Colson 3,Seraing,2,1,76,Not installed,No,,25,Good,D
87,9961902,new-real-estate-project-apartments,150000,6800,Avenue de Bouillon,Libramont-Chevigny,,,,,,,,,Not specified
88,9973306,new-real-estate-project-apartments,304000,1160,,<built-in method strip of str object at 0x7fa7adb324f0>,,,,,,,,,A
89,9985481,apartment,375000,1050,Avenue du Congo 16,Ixelles,1,1,79,USA installed,,,,Good,E
90,9986401,new-real-estate-project-apartments,415000,1325,Rue de Corroy 13,GISTOUX,,,,,,,,,Not specified
91,9986011,apartment-block,2790000,1050,Avenue Molière 101,Ixelles,7,8,507,USA hyper equipped,No,40,210,Just renovated,D
92,9992151,house,495000,1150,Rue Jean-Baptiste Dumoulin 20,Woluwe-Saint-Pierre,3,1,107,Hyper equipped,No,85,246,Just renovated,G
93,9991204,apartment-block,849000,1090,Rue Eugène De Smet 28,Jette,4,4,300,Semi equipped,No,19,154,Good,F
94,9987552,apartment,129000,4000,"Quai Saint-Léonard 26
    
        Box  17",Liège,1,1,72,Semi equipped,No,,,Good,E
95,9992810,apartment,160000,1140,Rue de Geneve 113,Evere,1,1,67,Not installed,No,,,To renovate,F
96,9964309,apartment,265000,1170,,<built-in method strip of str object at 0x7fa7adc7a3a0>,2,1,67,Installed,No,,,Good,E
97,9981094,apartment,290000,1140,Avenue des Communautes 4,Evere,1,1,69,USA hyper equipped,No,,,As new,A
98,9981091,penthouse,520000,1140,Avenue des Communautes 4,Evere,3,2,119,USA hyper equipped,No,,,As new,B
99,9971271,duplex,599000,1050,Avenue de la Couronne 274,Ixelles,4,2,212,Hyper equipped,No,,,As new,G
100,9980381,apartment,220000,1950,Avenue des Capucines 17,KRAAINEM,1,1,55,USA installed,No,,,Good,C
101,9969480,apartment,169000,1090,Avenue de l'Arbre Ballon 26,Jette,2,1,59,Semi equipped,No,,,Good,E
102,9983210,flat-studio,185000,1000,Rue du Canon 27,Bruxelles,,1,58,Hyper equipped,No,,,Good,C
103,9969074,apartment,230000,1930,Diegemstraat 160A,Zaventem,2,1,75,Hyper equipped,No,,,Good,D
104,9971090,new-real-estate-project-apartments,230000,9800,Tolpoortstraat 40,Deinze,,,,,,,,,A
105,9979954,apartment,235000,1000,"STEVINSTRAAT 109
    
        Box  C5",Brussels City,1,1,32,USA installed,Yes,,,Good,F
106,9898809,new-real-estate-project-apartments,241000,2500,Kazernedreef 4,Lier,,,,,,,,,Not specified
107,9983212,apartment,295000,1030,"Boulevard Leopold III 56
    
        Box 3",Schaerbeek,2,1,95,Hyper equipped,No,,,Good,E
108,9963349,apartment,299000,1930,"Astridlaan 12A
    
        Box  3",Zaventem,2,1,95,Installed,No,,,Good,C
109,9983482,mixed-use-building,300000,4260,Chaussée de Tirlemont 4,Braives,4,2,185,Installed,No,350,817,Good,G
110,9983481,house,300000,4260,Chaussée de Tirlemont 4,Braives,4,2,185,Installed,No,350,817,Good,G
111,9984940,new-real-estate-project-apartments,389000,9090,Brusselsesteenweg 87-89,Melle,,,,,,,,,Not specified
112,9984715,new-real-estate-project-houses,449000,2250,Larumseweg 11,Olen,,,,,,,,,Not specified
113,9984719,new-real-estate-project-houses,489000,2200,Herenthoutseweg 171,Herentals,,,,,,,,,Not specified
114,9983636,mixed-use-building,590000,3150,Grote Baan 25,Haacht Wespelaar,5,1,240,Hyper equipped,Yes,80,280,To be done up,D
115,9988990,house,349000,1082,Avenue Laure 3,Berchem-Sainte-Agathe,4,1,166,USA hyper equipped,No,20,86,Good,G
116,9906079,house,425000,7800,Route de Frasnes 139,Ath,5,2,200,Installed,No,,1500,As new,C
117,9988729,apartment-block,535000,1080,Rue de l'Escaut 5,Molenbeek-Saint-Jean,6,4,262,Semi equipped,No,,82,To renovate,G
118,9988895,exceptional-property,549000,1755,Edingsesteenweg 318,Gooik,4,1,304,Hyper equipped,,,1150,Good,E
119,9989763,house,650000,1970,Avenue Bel-Air 69,Wezembeek-Oppem,2,1,205,USA semi equipped,No,,543,Good,E
120,9988621,house,745000,1200,Avenue A.J. Slegers 233,Woluwe-Saint-Lambert,5,2,210,Installed,No,,133,Good,G
121,9988620,house,795000,1150,Tir aux Pigeons 105,Woluwe-Saint-Pierre,3,2,200,Hyper equipped,No,85,210,Good,D
122,9988624,house,840000,1950,Avenue Baron Albert d'Huart 116,Kraainem,5,2,200,Hyper equipped,No,150,360,Good,E
123,9978881,apartment,440000,1000,Rue du Pays de Liège 5-17,Bruxelles,2,1,97,USA hyper equipped,,,,As new,A
124,9994508,flat-studio,150000,4500,"Rue des Chevaux-Haleurs 3, 2.5",BEN-AHIN,,,51,Semi equipped,No,,,Good,B
125,9994379,apartment,224000,2880,"Puursesteenweg 172
    
        Box  2",Bornem,2,1,105,Installed,No,,,Good,B
126,9971109,apartment,230000,9800,Tolpoortstraat 40,Deinze,1,1,63,Hyper equipped,No,,,As new,A
127,9971110,apartment,245000,9800,Tolpoortstraat 40,Deinze,1,1,63,Hyper equipped,No,,,As new,A
128,9971112,apartment,320000,9800,Tolpoortstraat 40,Deinze,2,1,96,Hyper equipped,No,,,As new,A
129,9971108,apartment,390000,9800,Tolpoortstraat 40,Deinze,2,1,99,Hyper equipped,No,,,As new,A
130,9979953,apartment,185000,1000,"KRUIDTUINLAAN 3, K7",Brussels City,1,1,38,Installed,Yes,,,Good,E
131,9981108,apartment,255000,1200,Avenue Paul Hymans 112,Woluwe-Saint-Lambert,2,1,81,Not installed,No,,,To be done up,G
132,9982228,house,289000,4500,Avenue Albert 1er 16,Huy,3,1,290,Semi equipped,No,100,204,Good,D
133,9908727,town-house,300000,4101,Rue Francois Logen 25,Seraing,5,2,250,Installed,,,546,Good,D
134,9982526,apartment,335000,1180,Rue Lincoln 72,Uccle,2,1,97,Installed,No,,,Good,E
135,9981040,apartment,340000,1180,Avenue Brugmann 263,Uccle,2,1,86,Hyper equipped,No,,,Good,D
136,9981116,apartment,400000,1050,Rue d'Idalie 21,Ixelles,1,1,70,USA hyper equipped,Yes,,,As new,C
137,9968141,apartment,462000,3000,"Mechelsevest 22
    
        Box  201",Leuven,3,2,120,Semi equipped,No,,,To be done up,B
138,9991959,apartment,290000,1000,"Rue Jules Van Praet 20
    
        Box 4.3",Bruxelles,1,1,65,USA semi equipped,No,,,Good,C
139,9992678,apartment,420000,9600,"Bredestraat 86
    
        Box  0302",Ronse,2,1,120,Installed,No,,,Good,B
140,9979025,apartment,229000,1080,"Rue du Menuet 1,4A",Molenbeek-Saint-Jean,2,1,88,Hyper equipped,No,,,Just renovated,G
141,9980577,new-real-estate-project-houses,295500,9600,,<built-in method strip of str object at 0x7fa7aca5a070>,,,,,,,,,Not specified
142,9923211,villa,300000,4537,Rue Trixhelette 45,Verlaine,4,1,215,Installed,No,950,1200,To be done up,F
143,9979492,house,485000,1410,Clos de Bérine 39,Waterloo,4,2,154,Semi equipped,No,600,824,Good,D
144,9979493,house,485000,1420,Clos de Bérine 39,Braine-l'Alleud,4,2,154,Semi equipped,No,600,824,Good,D
145,9979266,new-real-estate-project-apartments,534643,3000,Kaboutermansstraat,Leuven,,,,,,,,,Not specified
146,9979473,villa,550000,1380,Chaussée de Rixensart 7,Lasne,5,1,187,Installed,No,463,610,Good,E
147,9592954,apartment,575000,1000,Rue Froissart 86,Bruxelles ville,2,2,112,Hyper equipped,No,,,As new,A
148,9833811,apartment,1537000,1050,"Avenue de la Toison d'Or 17
    
        Box 7C",Ixelles,2,2,160,Hyper equipped,No,,,As new,B
149,9941090,apartment,1839000,1050,Avenue de la Toison d'Or 17,Ixelles,3,2,203,Hyper equipped,No,,,As new,B
150,9995117,apartment,270000,1785,"Mandsteenweg 13
    
        Box 8",Merchtem,2,1,95,,No,,,Good,D
151,9988863,house,129000,9600,Schavaart 15,Ronse,3,1,165,Not installed,No,430,610,To renovate,F
152,9993346,villa,385000,4630,Rue de Wergifosse 26,Soumagne,4,1,200,Installed,No,400,643,Good,D
153,9993342,house,450000,4280,Rue du Marquat 2,Hannut,5,2,290,Hyper equipped,No,,1254,As new,D
154,9856030,apartment,189000,4500,"Avenue des Ardennes 34
    
        Box  22",Huy,3,1,100,Installed,No,,,Good,G
155,9988887,apartment,285000,9690,"Grote Herreweg 114
    
        Box  101",RUIEN,2,1,110,Installed,No,,,Good,A
156,9988886,apartment,285000,9690,"Grote Herreweg 114
    
        Box  101",RUIEN,2,1,110,Installed,No,,,Good,A
157,9962705,apartment,330000,1030,Boulevard du Roi Albert II 49,Schaerbeek,3,1,114,USA hyper equipped,No,,,As new,C
158,9963265,new-real-estate-project-apartments,137500,1000,Rue des Commerçants 48-52,BRUXELLES,,,,,,,,,A
